id;code;designation;ville;gps_x;gps_y
1;invoice;Points Bedfordshire THX;holistic;70316;17047
2;Accounts;Facilitator payment initiatives;New Mexico;56781;36897
3;deploy;syndicate;red Bedfordshire Meadows;61981;2749
4;compressing programming Berkshire;hacking;Sausages;62835;83545
5;PCI;SMTP red;Licensed Wooden Cheese dynamic Small;6016;94855
6;deposit Music;back up New Hampshire;Liaison deliverables;85749;51532
7;Analyst Agent;XML Madagascar software;Taka;578;96644
8;Home Loan Account Extensions;Fantastic Granite Salad Designer Human;zero defect hard drive;69993;41616
9;world-class invoice Jewelery;panel;virtual;79441;16084
10;payment Intelligent;Bacon Tuna Devolved;target Agent Mouse;43824;23518
