id;raison_sociale;identifiant_unique;adresse;telephone;fax;email;type_sites
1;reciprocal payment;Kuwait;Belize Dollar compressing Handcrafted;579.482.3739 x2338;Coordinator Money Market Account invoice;"$bU':E@ntjMX\l8HJhX";virtual
2;parsing Ergonomic quantify;uniform index;Home Loan Account Corporate;114-906-6861;grey;"l@!)g\J`";Customer
3;Villages;parsing context-sensitive approach;hub Gibraltar regional;104.949.9122 x671;Wisconsin Forward;",B8*@3\ay";Fantastic
4;Ball Gorgeous Wooden Pants;distributed sexy Gorgeous;National Nicaragua Cambridgeshire;1-148-938-8859;bluetooth;"Z@^/.X%(\#_NxwM";cutting-edge matrix
5;optical;bricks-and-clicks viral technologies;Regional invoice;(219) 353-1865 x451;Sausages Corporate index;"hY1 @tkh.~\g_d[D+";leading-edge ivory Philippine Peso
6;revolutionary Handmade;alliance hard drive firewall;Pula Monaco;654.851.8664;Hat Money Market Account next generation;"rd@h\bNOM";compressing Granite
7;Buckinghamshire parse;white;North Carolina Mississippi;407.324.0534;Principal;"q@K\[L";Configuration
8;neural Home Loan Account;Cambridgeshire implement Computers;models;891.425.9889;backing up;"z{@tW3\KUD";Dynamic back-end
9;Yemeni Rial solid state online;Graphic Interface;maroon Direct Avon;119.363.0153 x8055;azure;"(K@RGIV.g\`GTr+";Ergonomic Cotton Tuna mint green
10;heuristic;functionalities hub Auto Loan Account;Guinea Franc;972.808.9124 x685;Gibraltar Infrastructure Roads;"WC@*{D\%-,)Q$";deposit haptic
