id;raison_sociale;raison_sociale_abrege;identifiant_unique;registre_commerce;code_article;adresse;code_postal;pays;telephone;fax;email
1;composite platforms connecting;calculating Liberian Dollar;alliance Object-based Buckinghamshire;alarm calculating;Soft Samoa;solid state override;platforms Games;hard drive Berkshire;406-858-2842 x261;revolutionary;"|PtQoy@uXt\TCaqe "
2;SDD;envisioneer 1080p;Home District partnerships;Human;utilisation Groves e-business;Wooden;Cheese Global;Central;1-981-702-9072;wireless Cloned Barbados Dollar;"+,(}V@!;:\Y<Z&g"
3;Paradigm Enhanced Generic Plastic Tuna;B2C Pa'anga;Operations structure;Awesome Rubber Pizza process improvement Orchestrator;methodical;Managed Cotton Licensed Metal Table;disintermediate;strategize Nepalese Rupee;1-347-161-6900 x00553;payment microchip Electronics;"xfw:@FS_ y \&<kl z"
4;matrix;SQL card;morph;Licensed Soft Salad Wooden;white Principal;fresh-thinking;application Business-focused Analyst;strategic;1-239-118-8717 x19438;Bridge bottom-line knowledge user;"L:m:@;[%^z\.$:"
5;Borders;Profit-focused mint green;Pants black orange;Granite;Tunnel Checking Account Program;multi-state;Syrian Pound Mission;indexing Bacon JBOD;739.440.1915 x327;Lebanese Pound Checking Account Generic Granite Chips;"=mvf@eTS\IZAyC"
6;Bedfordshire Specialist;Metal override deposit;Investment Account Nebraska pixel;Tugrik Ergonomic Steel Bacon;Tokelau Fish;e-business Wisconsin;Bahrain;Credit Card Account Shoes;(827) 836-2960 x16859;Nebraska;"l,J&i$@JDR\08w"
7;Tajikistan deposit;embrace Alabama synthesize;optimal;COM;Forward;Bouvet Island (Bouvetoya) neural;Nuevo Sol Brand;Configuration discrete primary;1-400-783-8752 x65406;Berkshire;")@m\a]mLNn"
8;Computers Estates;payment Dong Som;Automotive 1080p Small Granite Salad;Practical time-frame;Graphic Interface array Handcrafted;Berkshire;index;Fresh Avon asynchronous;(543) 517-5007;Lesotho primary;"8870Q@M[1~M?\=yoU"
9;strategic;system;e-tailers Consultant;frame Summit Personal Loan Account;Agent green;Utah Universal;Puerto Rico scale system;Accountability Borders SSL;1-063-874-3939 x9705;navigating;"&e7@ju,jDH\,jT`"
10;1080p Garden bus;Iceland Rest ability;Ergonomic;compressing optical transmitter;Falls;out-of-the-box copy;CSS online Practical;emulation monitor Ville;(163) 974-2363;blue Ergonomic Rubber Tuna Refined;"1Q@X%\2p*: ON"
